,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Newsgroups12,1,1,100,8,1.0,0.6000000000000001,1975.5421471595764
1,Newsgroups12,1,2,100,8,1.0,1.0,2236.715289592743
2,Newsgroups12,1,3,100,8,1.0,0.92,2109.631737947464
3,Newsgroups12,1,4,100,8,1.0,0.8,2138.431274175644
4,Newsgroups12,1,5,100,8,1.0,1.0,2191.429701089859
5,Newsgroups12,1,6,100,8,1.0,0.76,2184.2504625320435
6,Newsgroups12,1,7,100,8,1.0,0.9800000000000001,2235.155885696411
7,Newsgroups12,1,8,100,8,1.0,0.8200000000000001,2095.4316730499268
8,Newsgroups12,1,9,100,8,1.0,0.9600000000000001,2200.0378618240356
9,Newsgroups12,1,10,100,8,1.0,0.46,2025.391483783722
10,Newsgroups12,2,1,100,8,1.0,0.68,2157.977269411087
11,Newsgroups12,2,2,100,8,1.0,0.92,2112.1349170207977
12,Newsgroups12,2,3,100,8,1.0,1.0,2269.600075483322
13,Newsgroups12,2,4,100,8,1.0,0.92,2115.58385014534
14,Newsgroups12,2,5,100,8,1.0,0.8400000000000001,2250.542494058609
15,Newsgroups12,2,6,100,8,1.0,0.76,2177.4194622039795
16,Newsgroups12,2,7,100,8,1.0,0.48,1978.9217026233673
17,Newsgroups12,2,8,100,8,1.0,0.6599999999999999,2179.8726511001587
18,Newsgroups12,2,9,100,8,1.0,0.6799999999999999,2141.748458147049
19,Newsgroups12,2,10,100,8,1.0,0.9600000000000001,2302.0161101818085
20,Newsgroups12,3,1,100,8,1.0,0.92,2262.060128927231
21,Newsgroups12,3,2,100,8,1.0,0.8400000000000001,2212.5395464897156
22,Newsgroups12,3,3,100,8,1.0,0.76,2092.893986225128
23,Newsgroups12,3,4,100,8,1.0,0.72,2065.7398681640625
24,Newsgroups12,3,5,100,8,1.0,0.72,2128.5517246723175
25,Newsgroups12,3,6,100,8,1.0,0.8,2157.9056525230408
26,Newsgroups12,3,7,100,8,1.0,0.8,2114.6633327007294
27,Newsgroups12,3,8,100,8,1.0,0.92,2170.0172572135925
28,Newsgroups12,3,9,100,8,1.0,0.82,2134.33331155777
29,Newsgroups12,3,10,100,8,1.0,0.8200000000000001,2102.573425769806
30,Newsgroups12,4,1,100,8,1.0,0.8,2104.565957069397
31,Newsgroups12,4,2,100,8,1.0,0.76,2031.0966112613678
32,Newsgroups12,4,3,100,8,1.0,0.42000000000000004,2016.432860136032
33,Newsgroups12,4,4,100,8,1.0,0.76,2188.1466810703278
34,Newsgroups12,4,5,100,8,1.0,0.8800000000000001,2092.664541244507
35,Newsgroups12,4,6,100,8,1.0,0.8,2144.1828198432922
36,Newsgroups12,4,7,100,8,1.0,0.8200000000000001,2210.4024035930634
37,Newsgroups12,4,8,100,8,1.0,1.0,2187.9452080726624
38,Newsgroups12,4,9,100,8,1.0,1.0,2299.9128198623657
39,Newsgroups12,4,10,100,8,1.0,0.9600000000000001,2233.647621154785
40,Newsgroups12,5,1,100,8,1.0,0.62,1931.396922826767
41,Newsgroups12,5,2,100,8,1.0,0.5000000000000001,2021.7162919044495
42,Newsgroups12,5,3,100,8,1.0,0.8,2174.4318478107452
43,Newsgroups12,5,4,100,8,1.0,0.9800000000000001,2095.0950877666473
44,Newsgroups12,5,5,100,8,1.0,1.0,2275.1430792808533
45,Newsgroups12,5,6,100,8,1.0,1.0,2217.1561191082
46,Newsgroups12,5,7,100,8,1.0,0.8,2086.987384080887
47,Newsgroups12,5,8,100,8,1.0,0.7,2045.0018038749695
48,Newsgroups12,5,9,100,8,1.0,1.0,2128.2441952228546
49,Newsgroups12,5,10,100,8,1.0,0.92,2106.679214954376
