,dataset,rep,fold,best_size,best_depth,best_var,auc,time
0,Newsgroups5,1,1,100,8,1.0,0.9600000000000001,1174.4344656467438
1,Newsgroups5,1,2,100,8,1.0,0.92,1086.1063754558563
2,Newsgroups5,1,3,100,8,1.0,0.88,1061.2194831371307
3,Newsgroups5,1,4,100,8,1.0,1.0,1187.9202947616577
4,Newsgroups5,1,5,100,8,1.0,0.48000000000000004,987.3223552703857
5,Newsgroups5,1,6,100,8,1.0,1.0,1213.3597674369812
6,Newsgroups5,1,7,100,8,1.0,0.8,986.0955879688263
7,Newsgroups5,1,8,100,8,1.0,0.86,1117.2221674919128
8,Newsgroups5,1,9,100,8,1.0,0.68,1062.6602919101715
9,Newsgroups5,1,10,100,8,1.0,0.8,1031.6332614421844
10,Newsgroups5,2,1,100,8,1.0,1.0,1235.0428721904755
11,Newsgroups5,2,2,100,8,1.0,0.64,1068.8660953044891
12,Newsgroups5,2,3,100,8,1.0,0.74,1059.400550365448
13,Newsgroups5,2,4,100,8,1.0,0.88,1183.209041595459
14,Newsgroups5,2,5,100,8,1.0,0.8,1134.4405543804169
15,Newsgroups5,2,6,100,8,1.0,1.0,1180.4735527038574
16,Newsgroups5,2,7,100,8,1.0,0.92,1042.737561225891
17,Newsgroups5,2,8,100,8,1.0,0.74,1048.935364484787
18,Newsgroups5,2,9,100,8,1.0,0.76,1044.7018270492554
19,Newsgroups5,2,10,100,8,1.0,1.0,1229.2864356040955
20,Newsgroups5,3,1,100,8,1.0,0.6199999999999999,1209.016254901886
21,Newsgroups5,3,2,100,8,1.0,0.72,1073.673453092575
22,Newsgroups5,3,3,100,8,1.0,0.6000000000000001,1264.1017227172852
23,Newsgroups5,3,4,100,8,1.0,0.84,1312.053814649582
24,Newsgroups5,3,5,100,8,1.0,0.9,1288.1949396133423
25,Newsgroups5,3,6,100,8,1.0,0.8,1062.78422498703
26,Newsgroups5,3,7,100,8,1.0,0.8,1015.6059339046478
27,Newsgroups5,3,8,100,8,1.0,1.0,1063.9330894947052
28,Newsgroups5,3,9,100,8,1.0,0.88,1197.0317115783691
29,Newsgroups5,3,10,100,8,1.0,0.8400000000000001,1072.9666910171509
30,Newsgroups5,4,1,100,8,1.0,0.86,1064.8579490184784
31,Newsgroups5,4,2,100,8,1.0,1.0,1241.0422794818878
32,Newsgroups5,4,3,100,8,1.0,0.86,1020.7223076820374
33,Newsgroups5,4,4,100,8,1.0,0.92,1342.3758289813995
34,Newsgroups5,4,5,100,8,1.0,0.6799999999999999,1090.0490653514862
35,Newsgroups5,4,6,100,8,1.0,0.8,1028.7339880466461
36,Newsgroups5,4,7,100,8,1.0,0.92,1175.3394889831543
37,Newsgroups5,4,8,100,8,1.0,0.96,1153.468374490738
38,Newsgroups5,4,9,100,8,1.0,0.8000000000000002,1026.9908375740051
39,Newsgroups5,4,10,100,8,1.0,0.8400000000000001,1219.0432987213135
40,Newsgroups5,5,1,100,8,1.0,0.9400000000000001,1069.0924270153046
41,Newsgroups5,5,2,100,8,1.0,0.58,1156.6771581172943
42,Newsgroups5,5,3,100,8,1.0,1.0,1100.3239760398865
43,Newsgroups5,5,4,100,8,1.0,1.0,1295.7536051273346
44,Newsgroups5,5,5,100,8,1.0,0.76,1101.3144373893738
45,Newsgroups5,5,6,100,8,1.0,0.92,1208.7433452606201
46,Newsgroups5,5,7,100,8,1.0,0.74,1137.100955247879
47,Newsgroups5,5,8,100,8,1.0,0.8,1123.797059059143
48,Newsgroups5,5,9,100,8,1.0,0.8,1229.5944023132324
49,Newsgroups5,5,10,100,8,1.0,1.0,1142.5032806396484
