,dataset,rep,fold,score
43,nBag_25_nFeat_2_nInsPerBag_2,5,8,0.9193633952254642
44,nBag_25_nFeat_2_nInsPerBag_2,5,9,0.8619031830238728
45,nBag_25_nFeat_2_nInsPerBag_2,6,1,0.7155467138225758
46,nBag_25_nFeat_2_nInsPerBag_2,6,2,0.46145004420866487
47,nBag_25_nFeat_2_nInsPerBag_2,6,3,0.93433908045977
48,nBag_25_nFeat_2_nInsPerBag_2,6,4,0.7578779840848805
49,nBag_25_nFeat_2_nInsPerBag_2,6,5,0.9868149092287024
50,nBag_25_nFeat_2_nInsPerBag_2,6,6,0.8916003536693192
51,nBag_25_nFeat_2_nInsPerBag_2,6,7,0.7724895793861312
52,nBag_25_nFeat_2_nInsPerBag_2,6,8,0.9652835670077047
53,nBag_25_nFeat_2_nInsPerBag_2,6,9,0.9988758368068711
54,nBag_25_nFeat_2_nInsPerBag_2,7,1,0.704918213969938
55,nBag_25_nFeat_2_nInsPerBag_2,7,2,0.9181587091069848
56,nBag_25_nFeat_2_nInsPerBag_2,7,3,1.0557791777188328
57,nBag_25_nFeat_2_nInsPerBag_2,7,4,1.0980492926613612
58,nBag_25_nFeat_2_nInsPerBag_2,7,5,0.7646109637488947
59,nBag_25_nFeat_2_nInsPerBag_2,7,6,0.8823275862068964
60,nBag_25_nFeat_2_nInsPerBag_2,7,7,0.7463483642793985
61,nBag_25_nFeat_2_nInsPerBag_2,7,8,1.5662864721485406
62,nBag_25_nFeat_2_nInsPerBag_2,7,9,0.980022104332449
63,nBag_25_nFeat_2_nInsPerBag_2,8,1,0.9763693633952254
64,nBag_25_nFeat_2_nInsPerBag_2,8,2,0.34479442970822277
65,nBag_25_nFeat_2_nInsPerBag_2,8,3,1.3499557913351015
66,nBag_25_nFeat_2_nInsPerBag_2,8,4,1.162157382847038
67,nBag_25_nFeat_2_nInsPerBag_2,8,5,0.9855702917771884
68,nBag_25_nFeat_2_nInsPerBag_2,8,6,1.038252964247659
69,nBag_25_nFeat_2_nInsPerBag_2,8,7,0.4438992042440318
70,nBag_25_nFeat_2_nInsPerBag_2,8,8,0.777917771883289
71,nBag_25_nFeat_2_nInsPerBag_2,8,9,1.0199823165340405
72,nBag_25_nFeat_2_nInsPerBag_2,9,1,0.6833775419982316
73,nBag_25_nFeat_2_nInsPerBag_2,9,2,0.8170803334596437
74,nBag_25_nFeat_2_nInsPerBag_2,9,3,0.8890236200581029
75,nBag_25_nFeat_2_nInsPerBag_2,9,4,0.8154140878278808
76,nBag_25_nFeat_2_nInsPerBag_2,9,5,0.807730200833649
77,nBag_25_nFeat_2_nInsPerBag_2,9,6,0.83394341290893
78,nBag_25_nFeat_2_nInsPerBag_2,9,7,0.8373673740053048
79,nBag_25_nFeat_2_nInsPerBag_2,9,8,0.7236958443854995
80,nBag_25_nFeat_2_nInsPerBag_2,9,9,0.707970822281167
81,nBag_50_nFeat_2_nInsPerBag_10,1,1,3.3702437544707933
82,nBag_50_nFeat_2_nInsPerBag_10,1,2,2.9398819710428374
83,nBag_50_nFeat_2_nInsPerBag_10,1,3,3.104427896848034
84,nBag_50_nFeat_2_nInsPerBag_10,1,4,3.5865165211286136
85,nBag_50_nFeat_2_nInsPerBag_10,1,5,3.020165430690245
86,nBag_50_nFeat_2_nInsPerBag_10,1,6,3.213574348735501
87,nBag_50_nFeat_2_nInsPerBag_10,1,7,3.7946974968366862
88,nBag_50_nFeat_2_nInsPerBag_10,1,8,2.854954771412272
89,nBag_50_nFeat_2_nInsPerBag_10,1,9,2.5594711264206413
90,nBag_50_nFeat_2_nInsPerBag_10,2,1,2.757973259659445
91,nBag_50_nFeat_2_nInsPerBag_10,2,2,2.6982812198408994
92,nBag_50_nFeat_2_nInsPerBag_10,2,3,2.713637838063193
93,nBag_50_nFeat_2_nInsPerBag_10,2,4,2.0953854616575667
94,nBag_50_nFeat_2_nInsPerBag_10,2,5,2.3801394887675547
95,nBag_50_nFeat_2_nInsPerBag_10,2,6,3.3003233349800887
96,nBag_50_nFeat_2_nInsPerBag_10,2,7,1.8701618653736451
97,nBag_50_nFeat_2_nInsPerBag_10,2,8,2.993893585023077
98,nBag_50_nFeat_2_nInsPerBag_10,2,9,3.274814603536794
99,nBag_50_nFeat_2_nInsPerBag_10,3,1,2.0675318501616275
100,nBag_50_nFeat_2_nInsPerBag_10,3,2,2.8686061988971283
101,nBag_50_nFeat_2_nInsPerBag_10,3,3,3.0546256542668706
102,nBag_50_nFeat_2_nInsPerBag_10,3,4,2.625839264209201
103,nBag_50_nFeat_2_nInsPerBag_10,3,5,2.1847968109091895
104,nBag_50_nFeat_2_nInsPerBag_10,3,6,2.7494279441797977
105,nBag_50_nFeat_2_nInsPerBag_10,3,7,3.6990580773096458
106,nBag_50_nFeat_2_nInsPerBag_10,3,8,2.63563890473474
107,nBag_50_nFeat_2_nInsPerBag_10,3,9,2.8491918615706404
108,nBag_50_nFeat_2_nInsPerBag_10,4,1,2.1246950805421996
109,nBag_50_nFeat_2_nInsPerBag_10,4,2,3.4122694428598592
110,nBag_50_nFeat_2_nInsPerBag_10,4,3,2.4831776324075236
111,nBag_50_nFeat_2_nInsPerBag_10,4,4,2.221298182707196
112,nBag_50_nFeat_2_nInsPerBag_10,4,5,2.4542488387254497
113,nBag_50_nFeat_2_nInsPerBag_10,4,6,4.501626463477575
114,nBag_50_nFeat_2_nInsPerBag_10,4,7,2.4093051367723355
115,nBag_50_nFeat_2_nInsPerBag_10,4,8,3.52990026147806
116,nBag_50_nFeat_2_nInsPerBag_10,4,9,3.476326297775242
117,nBag_50_nFeat_2_nInsPerBag_10,5,1,2.3807703277897225
118,nBag_50_nFeat_2_nInsPerBag_10,5,2,2.9775543512708373
119,nBag_50_nFeat_2_nInsPerBag_10,5,3,3.0052647841795017
120,nBag_50_nFeat_2_nInsPerBag_10,5,4,2.9953967801229644
121,nBag_50_nFeat_2_nInsPerBag_10,5,5,3.394666193760603
122,nBag_50_nFeat_2_nInsPerBag_10,5,6,2.9776635989984532
