,dataset,rep,fold,best_size,best_depth,auc,time
0,Musk2,1,1,50,4,1,1675.950382
1,Musk2,1,2,50,4,0.949205522,1980.056075
2,Musk2,1,3,50,4,1,1934.705124
3,Musk2,1,4,50,4,0.488205128,1609.206938
4,Musk2,1,5,50,4,1,1934.937411
5,Musk2,1,6,50,4,1,1719.096951
6,Musk2,1,7,50,4,1,1649.537385
7,Musk2,1,8,50,4,0.906682684,1529.428832
8,Musk2,1,9,50,4,1,1547.367617
9,Musk2,1,10,50,4,0.757408864,1666.291807
10,Musk2,2,1,50,4,1,1649.913681
11,Musk2,2,2,50,4,0.996587678,1625.382675
12,Musk2,2,3,50,4,0.983935743,1751.945004
13,Musk2,2,4,50,4,0.99381818,1632.405842
14,Musk2,2,5,50,4,0.897588139,1559.287651
15,Musk2,2,6,50,4,0.953608247,1679.792343
16,Musk2,2,7,50,4,0.998452491,1750.701885
17,Musk2,2,8,50,4,0.819836786,1630.653264
18,Musk2,2,9,50,4,0.947863057,1579.648007
19,Musk2,2,10,50,4,0.416258065,1667.346016
20,Musk2,3,1,50,4,0.995268605,1625.40315
21,Musk2,3,2,50,4,0.947863057,1477.316219
22,Musk2,3,3,50,4,0.982514881,1582.562853
23,Musk2,3,4,50,4,0.997987421,1784.50694
24,Musk2,3,5,50,4,0.998784195,1716.959014
25,Musk2,3,6,50,4,0.567867232,1700.184126
26,Musk2,3,7,50,4,0.730945604,1641.11744
27,Musk2,3,8,50,4,1,1671.654701
28,Musk2,3,9,50,4,1,1717.812787
29,Musk2,3,10,50,4,0.94994995,1844.746921
30,Musk2,4,1,50,4,0.985660019,1833.553845
31,Musk2,4,2,50,4,0.947863057,1596.325564
32,Musk2,4,3,50,4,0.985827506,1729.208149
33,Musk2,4,4,50,4,0.98687876,1594.047037
34,Musk2,4,5,50,4,0.993133047,1749.496874
35,Musk2,4,6,50,4,1,1646.845001
36,Musk2,4,7,50,4,0.999454099,1664.853171
37,Musk2,4,8,50,4,0.647821229,1641.872124
38,Musk2,4,9,50,4,0.997854868,1685.828297
39,Musk2,4,10,50,4,0.839694656,1649.747773
40,Musk2,5,1,50,4,0.87003111,1521.491481
41,Musk2,5,2,50,4,0.832317073,1624.649708
42,Musk2,5,3,50,4,1,1624.888438
43,Musk2,5,4,50,4,1,1661.827201
44,Musk2,5,5,50,4,0.929411765,1658.083001
45,Musk2,5,6,50,4,1,1904.588004
46,Musk2,5,7,50,4,0.917808219,2682.818334
47,Musk2,5,8,50,4,0.987533115,2353.348876
48,Musk2,5,9,50,4,1,2239.175698
49,Musk2,5,10,50,4,0.944747599,2220.13828
