,i,score
0,1,0.5536099910453406
1,2,0.5298210460875371
2,3,0.5214373804819517
3,4,0.5227757347241142
4,5,0.5307586197060029
5,6,0.5269763817924421
6,7,0.5295517173809875
7,8,0.521097344689071
8,9,0.5242402026841312
9,10,0.5356759568568026
10,11,0.5336957428411481
11,12,0.5279058109182712
12,13,0.5298403081703521
13,14,0.5359483526653289
14,15,0.523234584483215
15,16,0.53303014769669
16,17,0.5278129587766799
17,18,0.5263240035506429
18,19,0.532734839315871
19,20,0.5315754250375281
20,21,0.5244795434342637
21,22,0.5221668616587758
22,23,0.5242487852979634
23,24,0.5231469947881855
24,25,0.526129690082436
25,26,0.5225508322284923
26,27,0.5248575928611724
27,28,0.5231497315907336
28,29,0.5252908167635864
29,30,0.5215933965795603
30,31,0.5245266196813012
31,32,0.5278637753960481
32,33,0.5277247215544422
33,34,0.523565623948025
34,35,0.5283520220089916
35,36,0.5255573925548598
36,37,0.5211135406089576
37,38,0.5194078058069443
38,39,0.5170887614632317
39,40,0.5230909275543387
40,41,0.5200930743026858
41,42,0.5273577053552472
42,43,0.5206217431975522
43,44,0.5183616679090968
44,45,0.5231172624261341
